Shape,Label,ShapeLoc,Condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,Exclude,StrangerShape,P1Shape,P2Shape,corr,Training,nCorr,trialinblock,BlankFrames,Block,Pair Number,Participant 1 Age,Participant 2 Age,Phase
P2,P1,Bottom,Mismatch,2,16,64,14,o,0.550172581,0,TRIANGLE,STAR,CIRCLE,1,0,58,65,78,4,27,21,29,2
P2,Stranger,Top,Mismatch,2,17,65,11,o,1.0501333,0,TRIANGLE,STAR,CIRCLE,1,0,59,66,78,4,27,21,29,2
Stranger,Stranger,Top,Match,2,18,66,16,w,0.450169305,0,TRIANGLE,STAR,CIRCLE,1,0,60,67,78,4,27,21,29,2
Stranger,Stranger,Bottom,Match,2,19,67,20,w,0.550162712,0,TRIANGLE,STAR,CIRCLE,1,0,61,68,78,4,27,21,29,2
P2,P1,Bottom,Mismatch,2,20,68,14,o,1.000247532,0,TRIANGLE,STAR,CIRCLE,1,0,62,69,78,4,27,21,29,2
P1,P1,Top,Match,2,21,69,0,w,0.683614771,0,TRIANGLE,STAR,CIRCLE,1,0,63,70,78,4,27,21,29,2
Stranger,P2,Top,Mismatch,2,22,70,19,o,0.816830352,0,TRIANGLE,STAR,CIRCLE,1,0,64,71,78,4,27,21,29,2
Stranger,P1,Bottom,Mismatch,2,23,71,22,o,0.883491439,0,TRIANGLE,STAR,CIRCLE,1,0,65,72,78,4,27,21,29,2
P1,P1,Bottom,Match,3,0,72,5,w,0.616790242,0,TRIANGLE,STAR,CIRCLE,1,0,66,73,78,4,27,21,29,2
Stranger,P2,Bottom,Mismatch,3,1,73,23,w,0.916825733,0,TRIANGLE,STAR,CIRCLE,0,0,66,74,78,4,27,21,29,2
P2,Stranger,Top,Mismatch,3,2,74,11,o,0.883840037,0,TRIANGLE,STAR,CIRCLE,1,0,67,75,78,4,27,21,29,2
P1,P1,Top,Match,3,3,75,1,w,0.733457507,0,TRIANGLE,STAR,CIRCLE,1,0,68,76,78,4,27,21,29,2
P1,P1,Bottom,Match,3,4,76,4,w,0.650180201,0,TRIANGLE,STAR,CIRCLE,1,0,69,77,78,4,27,21,29,2
Stranger,Stranger,Bottom,Match,3,5,77,20,w,0.583885082,0,TRIANGLE,STAR,CIRCLE,1,0,70,78,78,4,27,21,29,2
P1,P1,Bottom,Match,3,6,78,5,o,0.683495545,0,TRIANGLE,STAR,CIRCLE,0,0,70,79,78,4,27,21,29,2
P2,P2,Top,Match,3,7,79,9,w,0.800237425,0,TRIANGLE,STAR,CIRCLE,1,0,71,80,78,4,27,21,29,2
Stranger,P2,Bottom,Mismatch,3,8,80,23,o,0.533501881,0,TRIANGLE,STAR,CIRCLE,1,0,72,81,78,4,27,21,29,2
P2,P2,Top,Match,3,9,81,8,w,0.733495802,0,TRIANGLE,STAR,CIRCLE,1,0,73,82,78,4,27,21,29,2
P1,P2,Bottom,Mismatch,3,10,82,7,o,0.600148756,0,TRIANGLE,STAR,CIRCLE,1,0,74,83,78,4,27,21,29,2
Stranger,Stranger,Top,Match,3,11,83,16,w,0.500197196,0,TRIANGLE,STAR,CIRCLE,1,0,75,84,78,4,27,21,29,2
P2,P1,Top,Mismatch,3,12,84,10,o,1.033506816,0,TRIANGLE,STAR,CIRCLE,1,0,76,85,78,4,27,21,29,2
Stranger,Stranger,Bottom,Match,3,13,85,20,w,0.583505691,0,TRIANGLE,STAR,CIRCLE,1,0,77,86,78,4,27,21,29,2
P2,P1,Top,Mismatch,3,14,86,10,o,0.666834715,0,TRIANGLE,STAR,CIRCLE,1,0,78,87,78,4,27,21,29,2
P2,Stranger,Top,Mismatch,3,15,87,11,o,0.700172956,0,TRIANGLE,STAR,CIRCLE,1,0,79,88,78,4,27,21,29,2
P2,Stranger,Bottom,Mismatch,3,16,88,15,o,0.500183379,0,TRIANGLE,STAR,CIRCLE,1,0,80,89,78,4,27,21,29,2
Stranger,Stranger,Top,Match,3,17,89,17,w,0.800170311,0,TRIANGLE,STAR,CIRCLE,1,0,81,90,78,4,27,21,29,2
P2,P2,Bottom,Match,3,18,90,12,w,0.56681762,0,TRIANGLE,STAR,CIRCLE,1,0,82,91,78,4,27,21,29,2
P1,P2,Top,Mismatch,3,19,91,3,o,0.566875654,0,TRIANGLE,STAR,CIRCLE,1,0,83,92,78,4,27,21,29,2
P1,P1,Top,Match,3,20,92,0,w,0.366864363,0,TRIANGLE,STAR,CIRCLE,1,0,84,93,78,4,27,21,29,2
P1,P1,Top,Match,3,21,93,1,w,0.416915153,0,TRIANGLE,STAR,CIRCLE,1,0,85,94,78,4,27,21,29,2
Stranger,Stranger,Top,Match,3,22,94,17,w,0.516838287,0,TRIANGLE,STAR,CIRCLE,1,0,86,95,78,4,27,21,29,2
P1,Stranger,Top,Mismatch,3,23,95,2,o,0.666832741,0,TRIANGLE,STAR,CIRCLE,1,0,87,96,78,4,27,21,29,2
Stranger,P2,Top,Mismatch,4,0,96,19,o,0.683491202,0,TRIANGLE,STAR,CIRCLE,1,0,88,97,78,4,27,21,29,2
P2,P1,Top,Mismatch,4,1,97,10,o,0.51684263,0,TRIANGLE,STAR,CIRCLE,1,0,89,98,78,4,27,21,29,2
P1,Stranger,Top,Mismatch,4,2,98,2,o,0.850506927,0,TRIANGLE,STAR,CIRCLE,1,0,90,99,78,4,27,21,29,2
P2,P1,Top,Mismatch,4,3,99,10,o,0.650205467,0,TRIANGLE,STAR,CIRCLE,1,0,91,100,78,4,27,21,29,2
P1,Stranger,Bottom,Mismatch,4,4,100,6,o,0.633543847,0,TRIANGLE,STAR,CIRCLE,1,0,92,101,78,4,27,21,29,2
P2,P2,Top,Match,4,5,101,8,w,0.650157698,0,TRIANGLE,STAR,CIRCLE,1,0,93,102,78,4,27,21,29,2
P1,P2,Top,Mismatch,4,6,102,3,o,0.633507527,0,TRIANGLE,STAR,CIRCLE,1,0,94,103,78,4,27,21,29,2
P1,Stranger,Top,Mismatch,4,7,103,2,o,0.683487649,0,TRIANGLE,STAR,CIRCLE,1,0,95,104,78,4,27,21,29,2
P2,P2,Bottom,Match,4,8,104,13,w,0.850149644,0,TRIANGLE,STAR,CIRCLE,1,0,96,105,78,4,27,21,29,2
Stranger,P1,Top,Mismatch,4,9,105,18,o,1.000148045,0,TRIANGLE,STAR,CIRCLE,1,0,97,106,78,4,27,21,29,2
P2,P1,Bottom,Mismatch,4,10,106,14,o,0.566785643,0,TRIANGLE,STAR,CIRCLE,1,0,98,107,78,4,27,21,29,2
P2,P2,Bottom,Match,4,11,107,13,w,1.033514712,0,TRIANGLE,STAR,CIRCLE,1,0,99,108,78,4,27,21,29,2
Stranger,P2,Top,Mismatch,4,12,108,19,o,0.533514909,0,TRIANGLE,STAR,CIRCLE,1,0,100,109,78,4,27,21,29,2
Stranger,Stranger,Bottom,Match,4,13,109,21,w,0.400297749,0,TRIANGLE,STAR,CIRCLE,1,0,101,110,78,4,27,21,29,2
Stranger,Stranger,Top,Match,4,14,110,16,w,0.466828161,0,TRIANGLE,STAR,CIRCLE,1,0,102,111,78,4,27,21,29,2
P2,P2,Bottom,Match,4,15,111,13,w,0.583501743,0,TRIANGLE,STAR,CIRCLE,1,0,103,112,78,4,27,21,29,2
P1,P1,Bottom,Match,4,16,112,4,w,0.4001651,0,TRIANGLE,STAR,CIRCLE,1,0,104,113,78,4,27,21,29,2
P2,P2,Bottom,Match,4,17,113,12,w,0.81682443,0,TRIANGLE,STAR,CIRCLE,1,0,105,114,78,4,27,21,29,2
Stranger,P1,Top,Mismatch,4,18,114,18,o,1.016827431,0,TRIANGLE,STAR,CIRCLE,1,0,106,115,78,4,27,21,29,2
P2,P2,Bottom,Match,4,19,115,12,w,0.566887103,0,TRIANGLE,STAR,CIRCLE,1,0,107,116,78,4,27,21,29,2
Stranger,Stranger,Bottom,Match,4,20,116,21,w,0.433527424,0,TRIANGLE,STAR,CIRCLE,1,0,108,117,78,4,27,21,29,2
Stranger,Stranger,Top,Match,4,21,117,16,w,0.450147197,0,TRIANGLE,STAR,CIRCLE,1,0,109,118,78,4,27,21,29,2
P1,P2,Top,Mismatch,4,22,118,3,o,0.483525312,0,TRIANGLE,STAR,CIRCLE,1,0,110,119,78,4,27,21,29,2
Stranger,P2,Bottom,Mismatch,4,23,119,23,o,0.550191926,0,TRIANGLE,STAR,CIRCLE,1,0,111,120,78,4,27,21,29,2
P1,P1,Top,Match,0,0,0,0,o,0.566868588,0,DIAMOND,TRIANGLE,PENTAGON,1,0,1,1,78,1,28,22,22,1
P2,P2,Top,Match,0,1,1,8,w,0.700248085,0,DIAMOND,TRIANGLE,PENTAGON,0,0,1,2,78,1,28,22,22,1
P1,P1,Top,Match,0,2,2,0,o,0.433496987,0,DIAMOND,TRIANGLE,PENTAGON,1,0,2,3,78,1,28,22,22,1
P2,P2,Bottom,Match,0,3,3,13,o,0.650234623,0,DIAMOND,TRIANGLE,PENTAGON,1,0,3,4,78,1,28,22,22,1
Stranger,Stranger,Top,Match,0,4,4,16,w,0.616816515,0,DIAMOND,TRIANGLE,PENTAGON,0,0,3,5,78,1,28,22,22,1
P2,P2,Top,Match,0,5,5,8,o,0.700188078,0,DIAMOND,TRIANGLE,PENTAGON,1,0,4,6,78,1,28,22,22,1
Stranger,Stranger,Bottom,Match,0,6,6,21,w,0.85016135,0,DIAMOND,TRIANGLE,PENTAGON,0,0,4,7,78,1,28,22,22,1
P2,P2,Top,Match,0,7,7,8,o,0.7835399,0,DIAMOND,TRIANGLE,PENTAGON,1,0,5,8,78,1,28,22,22,1
P2,Stranger,Bottom,Mismatch,0,8,8,15,o,0.866867641,0,DIAMOND,TRIANGLE,PENTAGON,0,0,5,9,78,1,28,22,22,1
P2,P2,Top,Match,0,9,9,9,o,0.800202369,0,DIAMOND,TRIANGLE,PENTAGON,1,0,6,10,78,1,28,22,22,1
P1,P2,Top,Mismatch,0,10,10,3,w,0.7168616,0,DIAMOND,TRIANGLE,PENTAGON,1,0,7,11,78,1,28,22,22,1
Stranger,Stranger,Top,Match,0,11,11,17,o,1.066840953,0,DIAMOND,TRIANGLE,PENTAGON,1,0,8,12,78,1,28,22,22,1
P1,P1,Bottom,Match,0,12,12,4,o,0.583527109,0,DIAMOND,TRIANGLE,PENTAGON,1,0,9,13,78,1,28,22,22,1
Stranger,Stranger,Bottom,Match,0,13,13,21,w,0.750590012,0,DIAMOND,TRIANGLE,PENTAGON,0,0,9,14,78,1,28,22,22,1
P1,P1,Bottom,Match,0,14,14,5,o,0.600611607,0,DIAMOND,TRIANGLE,PENTAGON,1,0,10,15,78,1,28,22,22,1
P2,P2,Bottom,Match,0,15,15,12,o,1.416760297,1,DIAMOND,TRIANGLE,PENTAGON,1,0,11,16,78,1,28,22,22,1
P1,P1,Top,Match,0,16,16,1,o,0.683541795,0,DIAMOND,TRIANGLE,PENTAGON,1,0,12,17,78,1,28,22,22,1
P1,Stranger,Top,Mismatch,0,17,17,2,w,0.866832504,0,DIAMOND,TRIANGLE,PENTAGON,1,0,13,18,78,1,28,22,22,1
P1,P1,Top,Match,0,18,18,0,o,0.650197908,0,DIAMOND,TRIANGLE,PENTAGON,1,0,14,19,78,1,28,22,22,1
Stranger,Stranger,Top,Match,0,19,19,17,o,0.700203869,0,DIAMOND,TRIANGLE,PENTAGON,1,0,15,20,78,1,28,22,22,1
P2,P2,Bottom,Match,0,20,20,12,o,0.683558376,0,DIAMOND,TRIANGLE,PENTAGON,1,0,16,21,78,1,28,22,22,1
P2,P1,Top,Mismatch,0,21,21,10,w,0.733528412,0,DIAMOND,TRIANGLE,PENTAGON,1,0,17,22,78,1,28,22,22,1
Stranger,Stranger,Top,Match,0,22,22,16,o,0.73354065,0,DIAMOND,TRIANGLE,PENTAGON,1,0,18,23,78,1,28,22,22,1
P2,Stranger,Bottom,Mismatch,0,23,23,15,w,0.716869496,0,DIAMOND,TRIANGLE,PENTAGON,1,0,19,24,78,1,28,22,22,1
P2,P1,Top,Mismatch,1,0,24,10,w,0.950192618,0,DIAMOND,TRIANGLE,PENTAGON,1,0,20,25,78,1,28,22,22,1
P2,P2,Bottom,Match,1,1,25,12,o,1.066822003,0,DIAMOND,TRIANGLE,PENTAGON,1,0,21,26,78,1,28,22,22,1
P1,P1,Bottom,Match,1,2,26,4,o,0.650186064,0,DIAMOND,TRIANGLE,PENTAGON,1,0,22,27,78,1,28,22,22,1
P1,P1,Bottom,Match,1,3,27,5,o,0.683519687,0,DIAMOND,TRIANGLE,PENTAGON,1,0,23,28,78,1,28,22,22,1
P1,P2,Top,Mismatch,1,4,28,3,w,0.633535439,0,DIAMOND,TRIANGLE,PENTAGON,1,0,24,29,78,1,28,22,22,1
P1,P1,Top,Match,1,5,29,1,o,0.65019317,0,DIAMOND,TRIANGLE,PENTAGON,1,0,25,30,78,1,28,22,22,1
P2,P2,Top,Match,1,6,30,8,o,0.850213462,0,DIAMOND,TRIANGLE,PENTAGON,1,0,26,31,78,1,28,22,22,1
P2,P1,Bottom,Mismatch,1,7,31,14,w,1.100159574,0,DIAMOND,TRIANGLE,PENTAGON,1,0,27,32,78,1,28,22,22,1
Stranger,P2,Bottom,Mismatch,1,8,32,23,w,1.150168299,0,DIAMOND,TRIANGLE,PENTAGON,1,0,28,33,78,1,28,22,22,1
P2,Stranger,Top,Mismatch,1,9,33,11,None,None,1,DIAMOND,TRIANGLE,PENTAGON,3,0,28,34,78,1,28,22,22,1
P1,Stranger,Top,Mismatch,1,10,34,2,o,0.833535992,0,DIAMOND,TRIANGLE,PENTAGON,0,0,28,35,78,1,28,22,22,1
P1,P2,Top,Mismatch,1,11,35,3,w,0.833523753,0,DIAMOND,TRIANGLE,PENTAGON,1,0,29,36,78,1,28,22,22,1
P1,P1,Top,Match,1,12,36,1,o,0.650188433,0,DIAMOND,TRIANGLE,PENTAGON,1,0,30,37,78,1,28,22,22,1
Stranger,P2,Top,Mismatch,1,13,37,19,w,0.95020683,0,DIAMOND,TRIANGLE,PENTAGON,1,0,31,38,78,1,28,22,22,1
Stranger,Stranger,Bottom,Match,1,14,38,20,o,0.866840005,0,DIAMOND,TRIANGLE,PENTAGON,1,0,32,39,78,1,28,22,22,1
Stranger,P1,Bottom,Mismatch,1,15,39,22,None,None,1,DIAMOND,TRIANGLE,PENTAGON,3,0,32,40,78,1,28,22,22,1
P2,Stranger,Top,Mismatch,1,16,40,11,w,0.916916239,0,DIAMOND,TRIANGLE,PENTAGON,1,0,33,41,78,1,28,22,22,1
Stranger,Stranger,Top,Match,1,17,41,16,o,1.000195815,0,DIAMOND,TRIANGLE,PENTAGON,1,0,34,42,78,1,28,22,22,1
P1,Stranger,Top,Mismatch,1,18,42,2,w,1.016847625,0,DIAMOND,TRIANGLE,PENTAGON,1,0,35,43,78,1,28,22,22,1
Stranger,Stranger,Top,Match,1,19,43,17,o,1.400175602,1,DIAMOND,TRIANGLE,PENTAGON,1,0,36,44,78,1,28,22,22,1
Stranger,Stranger,Bottom,Match,1,20,44,21,None,None,1,DIAMOND,TRIANGLE,PENTAGON,3,0,36,45,78,1,28,22,22,1
P2,P2,Bottom,Match,1,21,45,13,o,0.766845848,0,DIAMOND,TRIANGLE,PENTAGON,1,0,37,46,78,1,28,22,22,1
Stranger,P1,Top,Mismatch,1,22,46,18,None,None,1,DIAMOND,TRIANGLE,PENTAGON,3,0,37,47,78,1,28,22,22,1
P2,P1,Bottom,Mismatch,1,23,47,14,w,1.183520871,0,DIAMOND,TRIANGLE,PENTAGON,1,0,38,48,78,1,28,22,22,1
P1,P1,Top,Match,2,0,48,1,o,0.650200671,0,DIAMOND,TRIANGLE,PENTAGON,1,0,39,49,78,1,28,22,22,1
Stranger,Stranger,Top,Match,2,1,49,16,o,0.700175049,0,DIAMOND,TRIANGLE,PENTAGON,1,0,40,50,78,1,28,22,22,1
P2,P2,Bottom,Match,2,2,50,12,o,0.833925254,0,DIAMOND,TRIANGLE,PENTAGON,1,0,41,51,78,1,28,22,22,1
P1,P2,Top,Mismatch,2,3,51,3,w,0.600193526,0,DIAMOND,TRIANGLE,PENTAGON,1,0,42,52,78,1,28,22,22,1
P1,P1,Bottom,Match,2,4,52,4,o,0.583538558,0,DIAMOND,TRIANGLE,PENTAGON,1,0,43,53,78,1,28,22,22,1
P1,P1,Bottom,Match,2,5,53,4,o,0.583519608,0,DIAMOND,TRIANGLE,PENTAGON,1,0,44,54,78,1,28,22,22,1
P1,P1,Bottom,Match,2,6,54,5,o,0.616861521,0,DIAMOND,TRIANGLE,PENTAGON,1,0,45,55,78,1,28,22,22,1
P2,P2,Top,Match,2,7,55,9,o,0.633522806,0,DIAMOND,TRIANGLE,PENTAGON,1,0,46,56,78,1,28,22,22,1
Stranger,Stranger,Bottom,Match,2,8,56,20,o,0.600190367,0,DIAMOND,TRIANGLE,PENTAGON,1,0,47,57,78,1,28,22,22,1
Stranger,P2,Top,Mismatch,2,9,57,19,w,0.816848651,0,DIAMOND,TRIANGLE,PENTAGON,1,0,48,58,78,1,28,22,22,1
Stranger,P1,Top,Mismatch,2,10,58,18,w,0.883687235,0,DIAMOND,TRIANGLE,PENTAGON,1,0,49,59,78,1,28,22,22,1
P2,P1,Top,Mismatch,2,11,59,10,None,None,1,DIAMOND,TRIANGLE,PENTAGON,3,0,49,60,78,1,28,22,22,1
P2,P2,Top,Match,2,12,60,9,o,0.950181958,0,DIAMOND,TRIANGLE,PENTAGON,1,0,50,61,78,1,28,22,22,1
P2,P2,Bottom,Match,2,13,61,12,o,0.716849362,0,DIAMOND,TRIANGLE,PENTAGON,1,0,51,62,78,1,28,22,22,1
P2,Stranger,Top,Mismatch,2,14,62,11,w,1.366828557,0,DIAMOND,TRIANGLE,PENTAGON,1,0,52,63,78,1,28,22,22,1
P1,P2,Bottom,Mismatch,2,15,63,7,w,0.783541085,0,DIAMOND,TRIANGLE,PENTAGON,1,0,53,64,78,1,28,22,22,1
Stranger,P1,Bottom,Mismatch,2,16,64,22,w,0.766872694,0,DIAMOND,TRIANGLE,PENTAGON,1,0,54,65,78,1,28,22,22,1
Stranger,Stranger,Bottom,Match,2,17,65,20,o,0.916854652,0,DIAMOND,TRIANGLE,PENTAGON,1,0,55,66,78,1,28,22,22,1
P2,P1,Bottom,Mismatch,2,18,66,14,w,0.750171536,0,DIAMOND,TRIANGLE,PENTAGON,1,0,56,67,78,1,28,22,22,1
P2,Stranger,Top,Mismatch,2,19,67,11,o,0.83354823,0,DIAMOND,TRIANGLE,PENTAGON,0,0,56,68,78,1,28,22,22,1
Stranger,P1,Bottom,Mismatch,2,20,68,22,None,None,1,DIAMOND,TRIANGLE,PENTAGON,3,0,56,69,78,1,28,22,22,1
P2,P2,Bottom,Match,2,21,69,13,o,0.683833544,0,DIAMOND,TRIANGLE,PENTAGON,1,0,57,70,78,1,28,22,22,1
P1,Stranger,Bottom,Mismatch,2,22,70,6,w,1.100164311,0,DIAMOND,TRIANGLE,PENTAGON,1,0,58,71,78,1,28,22,22,1
Stranger,P2,Bottom,Mismatch,2,23,71,23,w,0.733534334,0,DIAMOND,TRIANGLE,PENTAGON,1,0,59,72,78,1,28,22,22,1
P2,Stranger,Bottom,Mismatch,3,0,72,15,w,1.383487472,0,DIAMOND,TRIANGLE,PENTAGON,1,0,60,73,78,1,28,22,22,1
Stranger,P2,Top,Mismatch,3,1,73,19,w,1.066860692,0,DIAMOND,TRIANGLE,PENTAGON,1,0,61,74,78,1,28,22,22,1
Stranger,Stranger,Top,Match,3,2,74,17,None,None,0,DIAMOND,TRIANGLE,PENTAGON,3,0,61,75,78,1,28,22,22,1
P1,P1,Bottom,Match,3,3,75,5,o,0.717280077,0,DIAMOND,TRIANGLE,PENTAGON,1,0,62,76,78,1,28,22,22,1
P2,Stranger,Bottom,Mismatch,3,4,76,15,w,0.933522253,0,DIAMOND,TRIANGLE,PENTAGON,1,0,63,77,78,1,28,22,22,1
P1,Stranger,Bottom,Mismatch,3,5,77,6,w,0.783879419,0,DIAMOND,TRIANGLE,PENTAGON,1,0,64,78,78,1,28,22,22,1
P2,P1,Top,Mismatch,3,6,78,10,w,0.966853902,0,DIAMOND,TRIANGLE,PENTAGON,1,0,65,79,78,1,28,22,22,1
Stranger,Stranger,Top,Match,3,7,79,16,o,0.88353919,0,DIAMOND,TRIANGLE,PENTAGON,1,0,66,80,78,1,28,22,22,1
P1,P2,Bottom,Mismatch,3,8,80,7,w,0.616878892,0,DIAMOND,TRIANGLE,PENTAGON,1,0,67,81,78,1,28,22,22,1
P1,P2,Bottom,Mismatch,3,9,81,7,w,0.633529122,0,DIAMOND,TRIANGLE,PENTAGON,1,0,68,82,78,1,28,22,22,1
Stranger,P2,Bottom,Mismatch,3,10,82,23,w,0.766855323,0,DIAMOND,TRIANGLE,PENTAGON,1,0,69,83,78,1,28,22,22,1
P1,P1,Top,Match,3,11,83,0,o,0.683528767,0,DIAMOND,TRIANGLE,PENTAGON,1,0,70,84,78,1,28,22,22,1
P2,Stranger,Top,Mismatch,3,12,84,11,w,0.700181366,0,DIAMOND,TRIANGLE,PENTAGON,1,0,71,85,78,1,28,22,22,1
Stranger,P1,Top,Mismatch,3,13,85,18,None,None,1,DIAMOND,TRIANGLE,PENTAGON,3,0,71,86,78,1,28,22,22,1
P1,Stranger,Bottom,Mismatch,3,14,86,6,w,0.633534255,0,DIAMOND,TRIANGLE,PENTAGON,1,0,72,87,78,1,28,22,22,1
Stranger,P1,Bottom,Mismatch,3,15,87,22,w,1.48386418,0,DIAMOND,TRIANGLE,PENTAGON,1,0,73,88,78,1,28,22,22,1
P1,P1,Top,Match,3,16,88,0,o,0.716888051,0,DIAMOND,TRIANGLE,PENTAGON,1,0,74,89,78,1,28,22,22,1
P2,P2,Bottom,Match,3,17,89,13,o,0.683447441,0,DIAMOND,TRIANGLE,PENTAGON,1,0,75,90,78,1,28,22,22,1
Stranger,P1,Bottom,Mismatch,3,18,90,22,w,0.900190999,0,DIAMOND,TRIANGLE,PENTAGON,1,0,76,91,78,1,28,22,22,1
P2,P2,Bottom,Match,3,19,91,13,o,0.933506856,0,DIAMOND,TRIANGLE,PENTAGON,1,0,77,92,78,1,28,22,22,1
P1,Stranger,Top,Mismatch,3,20,92,2,w,1.133529912,0,DIAMOND,TRIANGLE,PENTAGON,1,0,78,93,78,1,28,22,22,1
P2,Stranger,Bottom,Mismatch,3,21,93,15,o,1.083504211,0,DIAMOND,TRIANGLE,PENTAGON,0,0,78,94,78,1,28,22,22,1
P1,P1,Bottom,Match,3,22,94,5,o,0.583531057,0,DIAMOND,TRIANGLE,PENTAGON,1,0,79,95,78,1,28,22,22,1
P2,P2,Top,Match,3,23,95,8,o,0.783526477,0,DIAMOND,TRIANGLE,PENTAGON,1,0,80,96,78,1,28,22,22,1
P1,Stranger,Bottom,Mismatch,4,0,96,6,w,0.933804922,0,DIAMOND,TRIANGLE,PENTAGON,1,0,81,97,78,1,28,22,22,1
Stranger,P2,Top,Mismatch,4,1,97,19,w,1.00018792,0,DIAMOND,TRIANGLE,PENTAGON,1,0,82,98,78,1,28,22,22,1
Stranger,P2,Bottom,Mismatch,4,2,98,23,w,0.683523635,0,DIAMOND,TRIANGLE,PENTAGON,1,0,83,99,78,1,28,22,22,1
Stranger,P2,Bottom,Mismatch,4,3,99,23,w,0.783509501,0,DIAMOND,TRIANGLE,PENTAGON,1,0,84,100,78,1,28,22,22,1
P1,P2,Bottom,Mismatch,4,4,100,7,w,0.600214055,0,DIAMOND,TRIANGLE,PENTAGON,1,0,85,101,78,1,28,22,22,1
P2,P1,Top,Mismatch,4,5,101,10,w,0.883534452,0,DIAMOND,TRIANGLE,PENTAGON,1,0,86,102,78,1,28,22,22,1
P2,P2,Top,Match,4,6,102,9,o,1.450164588,1,DIAMOND,TRIANGLE,PENTAGON,1,0,87,103,78,1,28,22,22,1
Stranger,P1,Top,Mismatch,4,7,103,18,w,0.650186064,0,DIAMOND,TRIANGLE,PENTAGON,1,0,88,104,78,1,28,22,22,1
P1,P2,Bottom,Mismatch,4,8,104,7,w,0.616886788,0,DIAMOND,TRIANGLE,PENTAGON,1,0,89,105,78,1,28,22,22,1
P1,P1,Bottom,Match,4,9,105,4,o,0.983529004,0,DIAMOND,TRIANGLE,PENTAGON,1,0,90,106,78,1,28,22,22,1
Stranger,Stranger,Bottom,Match,4,10,106,21,o,0.68354219,0,DIAMOND,TRIANGLE,PENTAGON,1,0,91,107,78,1,28,22,22,1
Stranger,P2,Top,Mismatch,4,11,107,19,w,0.800179866,0,DIAMOND,TRIANGLE,PENTAGON,1,0,92,108,78,1,28,22,22,1
Stranger,Stranger,Bottom,Match,4,12,108,20,w,0.867275853,0,DIAMOND,TRIANGLE,PENTAGON,0,0,92,109,78,1,28,22,22,1
P1,Stranger,Top,Mismatch,4,13,109,2,w,0.750198776,0,DIAMOND,TRIANGLE,PENTAGON,1,0,93,110,78,1,28,22,22,1
P1,P1,Top,Match,4,14,110,1,o,0.533516805,0,DIAMOND,TRIANGLE,PENTAGON,1,0,94,111,78,1,28,22,22,1
Stranger,Stranger,Bottom,Match,4,15,111,21,o,0.850203593,0,DIAMOND,TRIANGLE,PENTAGON,1,0,95,112,78,1,28,22,22,1
P1,Stranger,Bottom,Mismatch,4,16,112,6,w,0.883513528,0,DIAMOND,TRIANGLE,PENTAGON,1,0,96,113,78,1,28,22,22,1
Stranger,P1,Top,Mismatch,4,17,113,18,w,1.366833689,0,DIAMOND,TRIANGLE,PENTAGON,1,0,97,114,78,1,28,22,22,1
P1,P2,Top,Mismatch,4,18,114,3,w,0.683522845,0,DIAMOND,TRIANGLE,PENTAGON,1,0,98,115,78,1,28,22,22,1
P2,P1,Bottom,Mismatch,4,19,115,14,w,1.016848414,0,DIAMOND,TRIANGLE,PENTAGON,1,0,99,116,78,1,28,22,22,1
P2,P2,Top,Match,4,20,116,9,o,0.850170825,0,DIAMOND,TRIANGLE,PENTAGON,1,0,100,117,78,1,28,22,22,1
P2,P1,Bottom,Mismatch,4,21,117,14,w,0.566866219,0,DIAMOND,TRIANGLE,PENTAGON,1,0,101,118,78,1,28,22,22,1
Stranger,Stranger,Top,Match,4,22,118,17,o,0.883517871,0,DIAMOND,TRIANGLE,PENTAGON,1,0,102,119,78,1,28,22,22,1
Stranger,Stranger,Bottom,Match,4,23,119,20,o,0.733508672,0,DIAMOND,TRIANGLE,PENTAGON,1,0,103,120,78,1,28,22,22,1
P2,P1,Top,Mismatch,0,0,0,10,w,0.800451086,0,DIAMOND,TRIANGLE,PENTAGON,1,0,1,1,78,2,28,22,22,1
Stranger,Stranger,Bottom,Match,0,1,1,21,o,0.583482893,0,DIAMOND,TRIANGLE,PENTAGON,1,0,2,2,78,2,28,22,22,1
P1,P2,Top,Mismatch,0,2,2,3,w,0.650159218,0,DIAMOND,TRIANGLE,PENTAGON,1,0,3,3,78,2,28,22,22,1
Stranger,P1,Bottom,Mismatch,0,3,3,22,w,0.833496513,0,DIAMOND,TRIANGLE,PENTAGON,1,0,4,4,78,2,28,22,22,1
P2,P2,Top,Match,0,4,4,9,o,0.683523635,0,DIAMOND,TRIANGLE,PENTAGON,1,0,5,5,78,2,28,22,22,1
P1,P1,Top,Match,0,5,5,0,o,0.766830846,0,DIAMOND,TRIANGLE,PENTAGON,1,0,6,6,78,2,28,22,22,1
P2,P1,Bottom,Mismatch,0,6,6,14,w,0.833489407,0,DIAMOND,TRIANGLE,PENTAGON,1,0,7,7,78,2,28,22,22,1
P1,Stranger,Top,Mismatch,0,7,7,2,o,0.95014998,0,DIAMOND,TRIANGLE,PENTAGON,0,0,7,8,78,2,28,22,22,1
P2,P2,Bottom,Match,0,8,8,13,o,0.7001561,0,DIAMOND,TRIANGLE,PENTAGON,1,0,8,9,78,2,28,22,22,1
