ExperimentName,Subject,Age,Handedness,Sex,Block,Bed,corr[Block],form[Block],Procedure[Block],Match,corr[Trial],form[Trial],Label[Trial],MT4.ACC,MT4.RT,Procedure,ACC,RT,target,Identity,Slide2.ACC,Slide2.RT,PrimeAss
RP_Personenaufg,1,19,right,female,28,,,,MT,mm,l,square.png,Mutter,1,440,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,im,l,triangle.png,Ich,1,361,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mm,l,square.png,Mutter,0,349,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mn,s,triangle.png,Mutter,1,569,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bm,l,circle.png,Bekannter,1,316,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mm,l,square.png,Mutter,0,506,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,im,l,triangle.png,Ich,1,303,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,im,l,triangle.png,Ich,1,334,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mn,s,circle.png,Mutter,0,298,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bn,s,square.png,Bekannter,0,361,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,in,s,circle.png,Ich,0,301,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bm,l,circle.png,Bekannter,0,484,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,in,s,square.png,Ich,1,410,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bn,s,triangle.png,Bekannter,1,468,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bm,l,circle.png,Bekannter,0,419,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,im,l,triangle.png,Ich,1,293,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bn,s,square.png,Bekannter,0,284,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mm,l,square.png,Mutter,1,347,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,im,l,triangle.png,Ich,1,464,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,in,s,square.png,Ich,0,576,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mm,l,square.png,Mutter,1,322,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mn,s,triangle.png,Mutter,0,368,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bn,s,triangle.png,Bekannter,0,316,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mn,s,circle.png,Mutter,0,338,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,in,s,circle.png,Ich,0,0,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bm,l,circle.png,Bekannter,1,446,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bn,s,triangle.png,Bekannter,1,662,MTproc,,,,,,,
