Participant #,Trial Type,Target Label,Shape Association,Target Accuracy,Reponse Time
5,Nonmatching,YOU,Friend,1,836
5,Matching,YOU,Self,0,917
5,Matching,FRIEND,Friend,1,805
9,Matching,FRIEND,Friend,0,857
9,Nonmatching,YOU,Friend,1,1013
9,Nonmatching,YOU,Friend,1,936
9,Matching,YOU,Self,1,587
9,Nonmatching,FRIEND,Self,1,799
9,Nonmatching,FRIEND,Self,1,1096
9,Matching,YOU,Self,1,821
9,Matching,YOU,Self,1,393
9,Nonmatching,YOU,Friend,1,735
9,Nonmatching,YOU,Friend,1,802
9,Nonmatching,FRIEND,Self,0,366
9,Nonmatching,FRIEND,Self,1,1028
9,Nonmatching,YOU,Friend,1,970
9,Matching,FRIEND,Friend,1,840
9,Nonmatching,YOU,Friend,1,764
9,Nonmatching,FRIEND,Self,1,881
9,Nonmatching,YOU,Friend,1,920
9,Matching,YOU,Self,1,504
9,Matching,YOU,Self,1,596
9,Matching,FRIEND,Friend,0,660
9,Nonmatching,FRIEND,Self,1,867
9,Matching,YOU,Self,1,675
9,Matching,YOU,Self,1,640
9,Matching,FRIEND,Friend,0,585
9,Nonmatching,YOU,Friend,0,988
9,Nonmatching,YOU,Friend,0,961
9,Nonmatching,YOU,Friend,1,679
9,Nonmatching,YOU,Friend,1,504
9,Nonmatching,YOU,Friend,1,461
9,Matching,FRIEND,Friend,0,573
9,Matching,FRIEND,Friend,0,720
9,Matching,YOU,Self,1,719
9,Nonmatching,FRIEND,Self,1,710
9,Matching,FRIEND,Friend,0,718
9,Nonmatching,YOU,Friend,1,995
9,Matching,YOU,Self,1,555
9,Nonmatching,FRIEND,Self,1,537
9,Nonmatching,FRIEND,Self,0,1054
9,Matching,YOU,Self,1,707
9,Matching,YOU,Self,1,683
9,Nonmatching,YOU,Friend,1,639
9,Matching,YOU,Self,1,972
9,Nonmatching,FRIEND,Self,1,618
9,Nonmatching,FRIEND,Self,0,704
9,Nonmatching,YOU,Friend,1,471
9,Nonmatching,YOU,Friend,1,564
9,Matching,YOU,Self,1,577
9,Nonmatching,FRIEND,Self,1,974
9,Nonmatching,FRIEND,Self,1,590
9,Nonmatching,FRIEND,Self,1,509
9,Matching,YOU,Self,1,508
9,Nonmatching,YOU,Friend,1,527
9,Nonmatching,FRIEND,Self,0,584
9,Nonmatching,YOU,Friend,1,684
9,Nonmatching,FRIEND,Self,1,583
9,Matching,YOU,Self,1,668
9,Nonmatching,FRIEND,Self,1,543
9,Nonmatching,FRIEND,Self,1,452
9,Nonmatching,FRIEND,Self,1,484
9,Nonmatching,YOU,Friend,0,598
9,Matching,YOU,Self,0,620
9,Nonmatching,FRIEND,Self,1,590
9,Nonmatching,YOU,Friend,0,770
9,Nonmatching,FRIEND,Self,1,343
9,Matching,FRIEND,Friend,0,486
9,Nonmatching,YOU,Friend,1,805
9,Nonmatching,FRIEND,Self,1,1044
9,Nonmatching,FRIEND,Self,1,621
9,Matching,YOU,Self,1,346
9,Nonmatching,FRIEND,Self,1,516
9,Matching,FRIEND,Friend,0,651
9,Matching,YOU,Self,1,835
9,Matching,YOU,Self,1,928
9,Nonmatching,YOU,Friend,1,582
9,Nonmatching,YOU,Friend,1,901
9,Matching,FRIEND,Friend,1,905
9,Matching,YOU,Self,0,556
9,Nonmatching,FRIEND,Self,0,742
9,Nonmatching,YOU,Friend,1,418
9,Matching,FRIEND,Friend,0,602
9,Matching,YOU,Self,1,769
9,Nonmatching,FRIEND,Self,1,780
9,Nonmatching,YOU,Friend,1,762
9,Nonmatching,YOU,Friend,1,744
9,Matching,YOU,Self,1,685
9,Matching,FRIEND,Friend,0,640
9,Matching,FRIEND,Friend,1,737
9,Nonmatching,YOU,Friend,1,726
9,Matching,YOU,Self,1,591
9,Matching,FRIEND,Friend,0,742
9,Matching,FRIEND,Friend,1,686
9,Matching,YOU,Self,1,899
9,Matching,YOU,Self,1,523
9,Matching,YOU,Self,1,390
9,Nonmatching,YOU,Friend,1,585
9,Matching,YOU,Self,1,816
9,Matching,YOU,Self,1,722
9,Matching,YOU,Self,1,401
9,Nonmatching,FRIEND,Self,1,552
9,Matching,FRIEND,Friend,1,762
9,Nonmatching,FRIEND,Self,1,792
9,Matching,FRIEND,Friend,1,856
9,Matching,YOU,Self,1,775
9,Matching,YOU,Self,1,467
9,Matching,FRIEND,Friend,0,737
9,Matching,YOU,Self,1,660
9,Matching,FRIEND,Friend,0,738
9,Nonmatching,FRIEND,Self,1,1062
9,Matching,YOU,Self,1,888
9,Matching,FRIEND,Friend,1,1031
9,Matching,FRIEND,Friend,1,440
9,Nonmatching,FRIEND,Self,1,667
9,Matching,YOU,Self,1,770
9,Matching,YOU,Self,1,545
9,Matching,YOU,Self,1,421
9,Matching,FRIEND,Friend,1,839
9,Matching,YOU,Self,1,527
9,Nonmatching,YOU,Friend,1,557
9,Nonmatching,YOU,Friend,0,630
9,Nonmatching,YOU,Friend,0,536
9,Nonmatching,FRIEND,Self,0,931
9,Matching,FRIEND,Friend,0,703
9,Matching,FRIEND,Friend,1,576
9,Matching,FRIEND,Friend,1,355
9,Nonmatching,FRIEND,Self,1,802
9,Matching,YOU,Self,1,529
9,Nonmatching,YOU,Friend,1,677
9,Nonmatching,FRIEND,Self,1,434
9,Matching,FRIEND,Friend,0,806
9,Matching,FRIEND,Friend,0,886
9,Matching,YOU,Self,1,592
9,Nonmatching,YOU,Friend,1,653
9,Nonmatching,FRIEND,Self,1,1041
