#TIME RESPONSE CND
0.6712 1 233
0.9773 1 233
0.5446 1 233
0.6807 1 233
0.7301 1 233
0.5708 1 233
0.7305 1 233
0.6106 1 233
0.6871 1 233
0.9343 1 233
0.6064 1 233
0.7957 1 233
0.703 1 233
0.8305 1 233
0.7105 1 233
0.8285 0 233
0.6857 1 233
0.6557 1 233
0.7811 1 233
0.7064 1 233
0.6934 1 233
0.7715 1 233
0.8158 1 233
0.9648 1 233
0.6869 1 233
0.8473 1 233
0.4989 0 233
0.6776 1 233
0.6232 1 233
0.7548 1 233
0.7009 1 233
0.7699 1 233
0.7717 1 233
0.49 1 233
0.8439 1 233
0.8641 1 233
0.4868 0 233
0.845 1 233
0.576 1 233
0.6294 1 233
0.4298 1 114
0.584 1 114
0.8597 1 114
1.0196 1 114
0.5773 1 114
0.7215 1 114
0.6726 1 114
1.0211 1 114
0.8291 1 114
0.6715 1 114
0.6157 1 114
0.759 0 114
0.8134 1 114
0.5239 1 114
0.4327 1 114
0.7102 1 114
0.466 1 114
0.73 1 114
0.7445 0 114
0.7026 1 114
0.7233 1 114
0.9462 1 114
0.5194 1 114
0.5936 0 114
0.9865 1 114
0.6483 1 114
0.8729 1 114
0.7 1 114
0.527 1 114
0.8152 0 114
0.4771 1 114
0.5863 1 114
0.7933 0 114
0.6805 1 114
0.593 1 114
0.6675 1 114
0.931 1 114
0.6112 1 114
0.6246 0 114
0.9147 1 114
0.6536 1 114
0.6867 0 114
0.7555 1 114
0.6704 1 114
0.5646 1 114
0.7397 0 114
0.6091 1 114
0.6714 1 114
0.5096 1 114
0.6932 1 114
0.6147 1 114
0.6159 1 114
0.618 1 114
0.7224 1 114
0.7255 1 114
0.6112 1 114
0.7422 1 124
0.6012 1 124
0.6722 1 124
0.6065 0 124
0.6668 1 124
1.0681 1 124
0.7947 1 124
0.7194 1 124
0.5795 1 124
0.6149 0 124
0.6725 1 124
0.4447 1 124
0.7407 1 124
0.9337 1 124
0.6365 1 124
0.5604 1 124
0.7002 0 124
1.0069 1 124
0.6471 0 124
0.5916 1 124
0.6503 1 124
0.6988 1 124
0.6219 1 124
0.6725 1 124
0.6846 1 124
0.9058 1 124
0.5801 1 124
0.5352 1 124
0.6356 1 124
0.5427 1 124
0.6361 1 124
0.7394 1 124
0.653 1 124
0.5481 0 124
0.5993 0 124
0.6128 1 124
0.5357 0 124
0.7061 1 124
0.6139 1 124
0.7375 1 124
0.5539 0 124
0.6817 1 124
0.9109 1 124
0.7441 1 124
0.7286 1 124
0.6467 0 124
0.6359 1 124
0.4259 0 124
0.6299 1 124
0.7876 1 124
0.7448 1 124
1.047 1 124
0.8573 1 124
0.7226 1 134
0.8359 1 134
0.5618 1 134
0.5826 1 134
0.6067 1 134
0.7681 1 134
0.7399 1 134
0.8098 1 134
0.6153 1 134
0.5717 1 134
0.9361 0 134
