Indice,Method,r,Target,Paper_ID
ezDDM: z,Permuted,0.1616,Father,Pn13E3
RT,First-Second,0.69427,Stranger,Pn13E3
RT,Odd-Even,0.63452,Stranger,Pn13E3
RT,Permuted,0.50935,Stranger,Pn13E3
ACC,First-Second,0.31558,Stranger,Pn13E3
ACC,Odd-Even,0.44134,Stranger,Pn13E3
ACC,Permuted,0.60181,Stranger,Pn13E3
Dprime,First-Second,0.11279,Stranger,Pn13E3
Dprime,Odd-Even,0.46607,Stranger,Pn13E3
Dprime,Permuted,0.31234,Stranger,Pn13E3
Efficiency,First-Second,0.18776,Stranger,Pn13E3
Efficiency,Odd-Even,0.30001,Stranger,Pn13E3
Efficiency,Permuted,0.06581,Stranger,Pn13E3
ezDDM: v,First-Second,0.17298,Stranger,Pn13E3
ezDDM: v,Odd-Even,0.60591,Stranger,Pn13E3
ezDDM: v,Permuted,0.4326,Stranger,Pn13E3
ezDDM: z,First-Second,0.08131,Stranger,Pn13E3
ezDDM: z,Odd-Even,0.08834,Stranger,Pn13E3
ezDDM: z,Permuted,0.23327,Stranger,Pn13E3
RT,First-Second,0.37664,Friend,Pn13E4
RT,Odd-Even,0.28775,Friend,Pn13E4
RT,Permuted,0.36749,Friend,Pn13E4
ACC,First-Second,0.57618,Friend,Pn13E4
ACC,Odd-Even,0.69521,Friend,Pn13E4
ACC,Permuted,0.37042,Friend,Pn13E4
Dprime,First-Second,0.48782,Friend,Pn13E4
Dprime,Odd-Even,0.41025,Friend,Pn13E4
Dprime,Permuted,0.16835,Friend,Pn13E4
Efficiency,First-Second,0.1192,Friend,Pn13E4
Efficiency,Odd-Even,0.1869,Friend,Pn13E4
Efficiency,Permuted,0.19564,Friend,Pn13E4
ezDDM: v,First-Second,0.40234,Friend,Pn13E4
ezDDM: v,Odd-Even,0.48053,Friend,Pn13E4
ezDDM: v,Permuted,0.35549,Friend,Pn13E4
ezDDM: z,First-Second,-0.04426,Friend,Pn13E4
ezDDM: z,Odd-Even,-0.02378,Friend,Pn13E4
