"","Target","Indice","Paper_ID","yi","Sample_Size","Trials","Author","Year","Exp"
"183","Close","ezDDM z","Ps5E1",-0.0530559103285852,24,60,"Sui et al.",2014,1
"184","Close","ezDDM z","Ps5E2",-0.284708164423265,18,60,"Sui et al.",2014,2
"185","Close","ezDDM z","Ps5E3",1.08627148100927,22,60,"Sui et al.",2014,3
"186","Close","ezDDM z","Ps5E4",0.10978212633656,20,60,"Sui et al.",2014,4
"187","Close","ezDDM z","Pt2E1",0.108149137317451,142,20,"Hobbs et al.",2023,1
"188","Close","ezDDM z","Pt3E1",0.324797564653769,108,60,"Liang et al.",2021,1
"189","Close","ezDDM z","Pt9E1",0.294774412673076,18,60,"Woźniak & Knoblich",2022,1
"190","Close","ezDDM z","Pt9E2",-0.0589580886883229,18,60,"Woźniak & Knoblich",2022,2
"191","Close","ezDDM z","Pt9E3",0.218968959583823,18,60,"Woźniak & Knoblich",2022,3
"192","Close","ezDDM z","Pt18E1",0.403188610681513,20,160,"Sui et al.",2023,1
"193","Close","ezDDM z","P19E1",0.647233276526163,17,60,"Bukowski et al.",2021,1
"194","Close","ezDDM z","P19E2",0.299199718104987,34,60,"Bukowski et al.",2021,2
"195","Close","ezDDM z","P34E1",-0.0740914990726453,29,12,"Kolvoort et al.",2020,1
"196","Close","ezDDM z","Pt27E1",0.0729039922306332,32,40,"Martínez-Pérez et al.",2024,2
"197","Close","ezDDM z","Pt13E1",0.0706082095759463,46,20,"Feldborg et al.",2021,1
"198","Close","ezDDM z","Pt28E1",0.0857844570106815,30,60,"Amodeo et al.",2024,1
"199","Close","rwDDM v","P0E1",0.0785072719787246,33,60,"Hu et al.",2023,1
"200","Close","rwDDM v","P6E1",0.631804732751781,46,20,"Constable & Knoblich",2020,1
"201","Close","rwDDM v","P54E1",0.333593858766663,31,18,"Schäfer & Frings",2019,1
"202","Close","rwDDM v","P54E3",0.399601738718656,33,24,"Schäfer & Frings",2019,3
"203","Close","rwDDM v","Pn4E1",0.62201908990965,29,30,"Golubickis & Macrae",2021,1
"204","Close","rwDDM v","Pn13E1",0.779943704814175,13,60,"Navon & Makovski",2021,1
"205","Close","rwDDM v","Pn13E3",-0.000424650455863151,28,60,"Navon & Makovski",2021,3
"206","Close","rwDDM v","Pn13E4",-0.0497654189710096,27,60,"Navon & Makovski",2021,4
"207","Close","rwDDM v","Pn16E1",1.37803189994844,20,50,"Svensson et al.",2022,1
"208","Close","rwDDM v","Pn16E2",1.00215252935819,24,100,"Svensson et al.",2022,2
"209","Close","rwDDM v","Pn16E3",0.883829922833728,24,100,"Svensson et al.",2022,3
"210","Close","rwDDM v","Pn23E1",0.497348224211817,105,60,"Xu et al.",2021,1
"211","Close","rwDDM v","P95E1",0.262995027720723,18,56,"Woźniak et al.",2018,1
